lat,lon,mean_annual_rf,std_annual,cv,dry_days,heavy_days
8.25,77.0,1368.7098,409.68338,0.29932085,253.05128205128204,0.4871794871794871
8.25,77.25,1163.1,317.94876,0.27336323,265.87179487179486,0.4871794871794871
8.25,77.5,749.88873,343.41086,0.45794907,313.0769230769231,0.282051282051282
8.25,77.75,758.4992,328.97153,0.43371373,294.1025641025641,0.2564102564102564
8.5,76.75,1833.1769,363.57733,0.19833183,233.2051282051282,0.8205128205128205
8.5,77.0,1656.483,407.7652,0.24616322,227.33333333333337,0.358974358974359
8.5,77.25,1534.6888,318.9736,0.20784253,221.94871794871796,0.3333333333333333
8.5,77.5,815.67255,396.00958,0.4855007,304.84615384615387,0.4871794871794871
8.5,77.75,775.97687,340.28146,0.4385201,303.15384615384613,0.358974358974359
8.5,78.0,759.824,377.29977,0.4965621,308.56410256410254,0.5128205128205128
8.75,76.5,1913.0118,436.02594,0.22792642,234.10256410256412,0.7948717948717948
8.75,76.75,1948.9087,647.83984,0.3324116,212.6153846153846,0.5384615384615384
8.75,77.0,1547.9862,468.90192,0.30291092,228.53846153846155,0.2307692307692307
8.75,77.25,1095.7365,336.37814,0.30698818,281.5897435897436,0.4871794871794871
8.75,77.5,745.55457,350.82437,0.47055492,298.1025641025641,0.1025641025641025
8.75,77.75,732.87,301.0972,0.41084668,298.35897435897436,0.282051282051282
8.75,78.0,757.8469,309.40405,0.4082672,311.84615384615387,0.5384615384615384
9.0,76.5,2272.5217,424.17462,0.18665372,205.5897435897436,0.8205128205128205
9.0,76.75,2454.019,823.62085,0.3356212,220.10256410256412,0.9230769230769232
9.0,77.0,2089.591,704.0048,0.33691034,237.89743589743588,0.9487179487179488
9.0,77.25,979.8834,409.40167,0.4178065,273.87179487179486,0.1538461538461538
9.0,77.5,778.6978,360.6065,0.46308914,286.71794871794873,0.1025641025641025
9.0,77.75,738.34576,339.0622,0.4592187,291.12820512820514,0.1025641025641025
9.0,78.0,1017.5802,494.40033,0.48585883,273.2307692307692,0.282051282051282
9.25,76.25,2627.5713,459.25723,0.17478393,210.46153846153845,0.8461538461538461
9.25,76.5,2658.3093,514.6825,0.19361272,194.6153846153846,0.6153846153846154
9.25,76.75,2869.183,728.74457,0.25399026,198.5897435897436,1.205128205128205
9.25,77.0,1369.8093,594.16077,0.43375435,231.76923076923077,0.2051282051282051
9.25,77.25,1006.7434,485.74762,0.48249397,284.4102564102564,0.2564102564102564
9.25,77.5,812.84534,400.91147,0.49321985,285.05128205128204,0.1282051282051282
9.25,77.75,980.66327,473.3283,0.4826614,296.2307692307692,0.6923076923076923
9.25,78.0,689.2772,385.65094,0.55950046,296.5897435897436,0.1282051282051282
9.25,78.25,779.03955,376.8939,0.48379302,297.3333333333333,0.3076923076923077
9.25,78.5,827.7137,345.8273,0.4178103,297.53846153846155,0.2307692307692307
9.25,78.75,945.0638,321.92178,0.34063497,296.97435897435895,0.2564102564102564
9.25,79.25,1031.6622,257.03992,0.24915123,300.1025641025641,0.4358974358974359
9.5,76.25,2764.9338,364.25137,0.13173963,196.8205128205128,1.0
9.5,76.5,2840.2998,572.50555,0.20156519,187.02564102564105,0.8974358974358975
9.5,76.75,3543.492,1011.46814,0.2854439,189.2051282051282,3.58974358974359
9.5,77.0,2396.6008,853.9395,0.35631278,206.07692307692307,0.8205128205128205
9.5,77.25,1044.236,576.1462,0.55173945,269.9230769230769,0.2051282051282051
9.5,77.5,966.0331,408.11502,0.42246485,285.28205128205127,0.282051282051282
9.5,77.75,898.1199,348.71347,0.38827053,287.5128205128205,0.1282051282051282
9.5,78.0,857.26855,353.44284,0.41228953,292.7435897435897,0.1282051282051282
9.5,78.25,836.4488,350.22296,0.41870221,290.3076923076923,0.1025641025641025
9.5,78.5,862.97675,324.5337,0.37606308,286.9230769230769,0.0769230769230769
9.5,78.75,953.7987,287.29938,0.30121595,290.20512820512823,0.1794871794871795
9.5,79.0,1004.4955,278.82806,0.2775802,291.05128205128204,0.3076923076923077
9.5,79.25,1010.4329,262.31512,0.25960666,292.6923076923077,0.358974358974359
9.75,76.25,2955.8103,709.5095,0.24003892,225.1282051282051,2.2564102564102564
9.75,76.5,3103.9326,656.1611,0.2113967,193.94871794871796,0.8974358974358975
9.75,76.75,3256.264,814.4901,0.25013027,181.4102564102564,1.8461538461538465
9.75,77.0,1828.6559,810.52856,0.44323733,215.10256410256412,0.5128205128205128
9.75,77.25,1000.0064,631.82904,0.631825,258.3333333333333,0.1282051282051282
9.75,77.5,1179.3097,474.0214,0.40194818,256.2564102564103,0.1282051282051282
9.75,77.75,1079.0577,370.92792,0.3437517,263.6666666666667,0.1794871794871795
9.75,78.0,889.4306,386.0548,0.43404713,290.15384615384613,0.1025641025641025
9.75,78.25,985.33545,386.97903,0.39273837,290.1794871794872,0.3333333333333333
9.75,78.5,846.497,339.95947,0.40160742,283.5128205128205,0.0512820512820512
