lat,lon,mean_annual_rf,std_annual,cv,dry_days,heavy_days,rf_norm,cv_norm,dry_norm,heavy_norm,scri,risk_tier,scri_z
8.25,77.0,1368.7098,409.68338,0.29932085,253.05128205128204,0.4871794871794871,0.14280879706221936,0.9715626814305351,0.5446813912385853,0.9826800364692386,0.6403395968413264,High,0.7069575816532392
8.25,77.25,1163.1,317.94876,0.27336323,265.87179487179486,0.4871794871794871,0.12098525185667705,0.9758626051457767,0.4812135059916638,0.9826800364692386,0.6221739371590898,High,0.38988350677244776
8.25,77.5,749.88873,343.41086,0.45794907,313.0769230769231,0.282051282051282,0.077126764419383,0.9452856481322371,0.24752475251249872,0.9899726526927171,0.5564575550345532,Moderate,-0.7571687572873904
8.25,77.75,758.4992,328.97153,0.43371373,294.1025641025641,0.2564102564102564,0.07804068477379202,0.9493002732485978,0.34145722267794276,0.9908842297206519,0.5767497757100386,Moderate,-0.4029764399971976
8.5,76.75,1833.1769,363.57733,0.19833183,233.2051282051282,0.8205128205128205,0.19210760846779015,0.9882916836301593,0.6429296776008198,0.9708295351060862,0.6759985227445624,Critical,1.3293693817084506
8.5,77.0,1656.483,407.7652,0.24616322,227.33333333333337,0.358974358974359,0.17335321390977995,0.98036833286865,0.6719979690439095,0.9872379216089127,0.6783071216011065,Critical,1.3696650197152203
8.5,77.25,1534.6888,318.9736,0.20784253,221.94871794871796,0.3333333333333333,0.1604259058268342,0.9867162200676852,0.6986544808476167,0.9881494986368475,0.6815750975937067,Critical,1.4267061887512993
8.5,77.5,815.67255,396.00958,0.4855007,304.84615384615387,0.4871794871794871,0.0841090977982553,0.9407216739608546,0.2882711348410223,0.9826800364692386,0.5637373839152043,Moderate,-0.6301023557363329
8.5,77.75,775.97687,340.28146,0.4385201,303.15384615384613,0.358974358974359,0.0798957749559358,0.9485040899179524,0.2966488956936162,0.9872379216089127,0.5672340145072202,Moderate,-0.5690701152585785
8.5,78.0,759.824,377.29977,0.4965621,308.56410256410254,0.5128205128205128,0.07818129982564412,0.9388893343170902,0.2698654481194154,0.9817684594413039,0.5575919280111749,Moderate,-0.7373687462542761
8.75,76.5,1913.0118,436.02594,0.22792642,234.10256410256412,0.7948717948717948,0.20058133174912185,0.983389289674787,0.638486925633535,0.9717411121340209,0.6766543851036455,Critical,1.340817187865403
8.75,76.75,1948.9087,647.83984,0.3324116,212.6153846153846,0.5384615384615384,0.20439144984606483,0.9660811426500101,0.7448591013073755,0.980856882413369,0.6970237614811394,Critical,1.6963562260159477
8.75,77.0,1547.9862,468.90192,0.30291092,228.53846153846155,0.2307692307692307,0.16183729969043495,0.970967980254835,0.6660319878306991,0.9917958067485867,0.6724485342241258,Critical,1.267405800663521
8.75,77.25,1095.7365,336.37814,0.30698818,281.5897435897436,0.4871794871794871,0.11383525031271588,0.970292575230522,0.40340187867893795,0.9826800364692386,0.6030741037545425,High,0.05650381602298325
8.75,77.5,745.55457,350.82437,0.47055492,298.1025641025641,0.1025641025641025,0.07666673412565161,0.9431974677302674,0.32165524248090327,0.9963536918882607,0.5722188586385082,Moderate,-0.4820617231054084
